service name,traffic,price
"[<div class=""package-title"">سرویس زمرد 16 مگابیت 3 ماهه</div>]","[<div class=""package-body-title"">
            180 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 360 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">4,500,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 16 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            60 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 120 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">1,500,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 8 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            480 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 960 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">10,152,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 8 مگابیت 6 ماهه</div>]","[<div class=""package-body-title"">
            240 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 480 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">5,358,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 8 مگابیت 3 ماهه</div>]","[<div class=""package-body-title"">
            120 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 240 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">2,820,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 8 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            40 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 80 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">940,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            360 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 720 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">8,100,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 6 ماهه</div>]","[<div class=""package-body-title"">
            180 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 360 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">4,275,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 3 ماهه</div>]","[<div class=""package-body-title"">
            90 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 180 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">2,250,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            30 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 60 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">750,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 16 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            16 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 32 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">800,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 8 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            10 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 20 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">500,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 4 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            8 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 16 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">400,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 3 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            5 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 10 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">350,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 2 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            3 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 6 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">250,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 1 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            2 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 4 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">200,000 ریال</div>]"
"[<div class=""package-title"">سرویس برنز 512 کیلوبیت 1 ماهه</div>]","[<div class=""package-body-title"">
            1 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 2 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">125,000 ریال</div>]"
"[<div class=""package-title"">سرویس 16 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک</div>]","[<div class=""package-body-title"">
            5400 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 10800 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">26,250,000 ریال</div>]"
"[<div class=""package-title"">سرویس 16 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک</div>]","[<div class=""package-body-title"">
            2700 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 5400 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">13,687,500 ریال</div>]"
"[<div class=""package-title"">سرویس 8 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک</div>]","[<div class=""package-body-title"">
            3000 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 6000 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">18,690,000 ریال</div>]"
"[<div class=""package-title"">سرویس 8 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک</div>]","[<div class=""package-body-title"">
            1500 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 3000 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">9,697,500 ریال</div>]"
"[<div class=""package-title"">نصب حضوری</div>]",[],"[<div class=""package-body-price fanum"">1,000,000 ریال</div>]"
